entity_id,quality,country,country_code,place,description
us-ofac.1e3ee4dd29fd539d55eb188a85f1c55d2f848a3e,strong,,,"Vergara, Guipuzcoa Province, Spain",
us-ofac.9192154f3dca3c7a9fab434e099df103d13682b5,strong,,,"Escoriaza, Guipuzcoa Province, Spain",
us-ofac.d3a45567e7b309748136261dd1dea6525cb1f49e,strong,,,"San Sebastian, Guipuzcoa Province, Spain",
us-ofac.0936e47be5383b6da8926a3742f06fc3493da37c,strong,,,"San Sebastian, Guipuzcoa Province, Spain",
us-ofac.6e83159d7e4069021db8d83ce3b89282c363a17f,strong,,,"Segura, Guipuzcoa Province, Spain",
us-ofac.5f993ade624ce58442777fe7a3a52467451facca,strong,,,"Pamplona, Navarra Province, Spain",
us-ofac.582b903bb19c289983007ce81d3cf1318a54b8d0,strong,,,"San Sebastian, Guipuzcoa Province, Spain",
us-ofac.51135279bc39a0dd0ec243e5f750aa781315a35c,strong,,,"Basauri, Vizcaya Province, Spain",
us-ofac.8ff5d16ad7524b89659511ab53fe82821a3c4ada,strong,,,"Itsasondo, Guipuzcoa Province, Spain",
us-ofac.90a7578636b3e400fb66848d53e74d071d00c5f7,strong,,,"San Sebastian, Guipuzcoa Province, Spain",
us-ofac.d1dd86326cd9f858ebf67d158e2a651cebd32405,strong,,,"San Sebastian, Guipuzcoa Province, Spain",
us-ofac.880b2d0b40ffb150e10f1aa00345aee2f24b6660,strong,,,"Ondarroa, Vizcaya Province, Spain",
us-ofac.72a393798ea174e45349b5fff07278f4ed51ed07,strong,,,"Irun, Guipuzcoa Province, Spain",
us-ofac.0a2fc3afb79fe88ce8efe852349ff4c9d7151fb2,strong,,,Tunisia,
us-ofac.7a52fa949c88e1269dd04cf9de6f0148b12fd386,strong,,,Libya,
us-ofac.7a52fa949c88e1269dd04cf9de6f0148b12fd386,weak,,,Tripoli,
us-ofac.f8af4375fe2ae0e23b39bedb871c30453056f3e8,strong,,,Tunisia,
